name,rarity,faceConvertedManaCost,colors,originalType,printings,uuid
Urabrask the Hidden,mythic,,R,Legendary Creature — Phyrexian Praetor,"CLB, HA5, IMA, MUL, NPH, PLST, SLD",49a24cda-4f82-562a-93d2-847c9c527443
"Grumgully, the Generous",uncommon,,"G, R",Legendary Creature — Goblin Shaman,"CLB, ELD, NEC, PLST",5c91e955-6404-5828-a79e-3cda4dbd2c8a
"Niv-Mizzet, Parun",rare,,"R, U",Legendary Creature — Dragon Wizard,"CLB, GRN, OTC, PGRN, PLST, RVR",0c2cbf05-c0c8-5011-931b-ea010d463dac
Apothecary White,rare,,W,Legendary Creature — Human Cleric,CLU,08853e2d-24cb-5858-9091-dbf726ff1a0a
Senator Peacock,rare,,U,Legendary Creature — Human Advisor,CLU,fb0f09e1-b1a4-5c5b-a600-7667324b15bc
Mastermind Plum,rare,,B,Legendary Creature — Human Wizard,CLU,e1e88eb4-ecfb-5056-8994-42d5a1406f04
Headliner Scarlett,rare,,R,Legendary Creature — Human Warlock,CLU,23b95d9e-cd70-53d5-8b0f-9fb43043f8b1
Emissary Green,rare,,G,Legendary Creature — Human Advisor,CLU,861d99e4-ef8b-576d-af84-d24d8018d91a
Commander Mustard,rare,,"R, W",Legendary Creature — Human Soldier,CLU,57b98786-dd10-52b7-bf08-72bad5ca6d36
"Amzu, Swarm's Hunger",rare,,"B, G",Legendary Creature — Insect Shaman,CLU,a4f767fd-0928-5521-8c9e-9559e6eee71d
"Lavinia, Foil to Conspiracy",rare,,"U, W",Legendary Creature — Human Detective,CLU,7e965432-fb84-5e8e-9030-c998c338c211
"Lonis, Genetics Expert",rare,,"G, U",Legendary Creature — Snake Elf Detective,CLU,cf7246df-f671-563d-9bb5-993b365c77ad
Lavinia of the Tenth,rare,,"U, W",Legendary Creature — Human Soldier,"CLU, DGM, GK2",21c46ed1-7de2-59b2-8671-b06031af4c3b
"Rakdos, the Showstopper",mythic,,"B, R",Legendary Creature — Demon,"CLU, PRNA, RNA",f5c4cf40-ff01-54cf-a0e4-065ff2eeeb21
Trostani Discordant,mythic,,"G, W",Legendary Creature — Dryad,"CLU, GRN, PGRN, SCD",d2673289-7b69-5012-bbd5-53f5ac8cf676
Maelstrom Wanderer,mythic,,"G, R, U",Legendary Creature — Elemental,"CM1, CMM, CMR, EMA, PC2, PCA, PRM, PZ1",fe150613-2060-5dc2-ba61-10928360988b
"Wrexial, the Risen Deep",mythic,,"B, U",Legendary Creature — Kraken,"CM2, CMD, NCC, SLD, WWK",49f4d32f-4966-555d-9bf1-46afb74ffbe9
The Prismatic Piper,special,,,Legendary Creature — Shapeshifter,"CMM, CMR, PRM",1c8d3f82-7b94-5fc0-80d5-60a8d6363bfc
"Morophon, the Boundless",mythic,,,Legendary Creature — Shapeshifter,"CMM, MH1, PJ21, PLST, PMH1",2db25501-acbd-5eb3-bf02-20e9aaa3d132
"Alharu, Solemn Ritualist",uncommon,,W,Legendary Creature — Human Monk,"CMM, CMR, MOC, PRM",dea6b3af-65eb-52a5-9bca-2b9008c2649f
"Anafenza, Kin-Tree Spirit",uncommon,,W,Legendary Creature — Spirit Soldier,"CMM, DMC, DTK, MUL, PDTK",602dd155-9bf3-5f29-8af2-91186ba3efc8
"Baird, Steward of Argive",uncommon,,W,Legendary Creature — Human Soldier,"CMM, DOM, PDOM, PLST",02a784bc-b61d-5e59-9178-7321a4e03973
"Danitha Capashen, Paragon",uncommon,,W,Legendary Creature — Human Knight,"CMM, CMR, DOM, GN3, J22, PDOM, PLST, SLD, WOC",f2acfed9-fa4a-5052-85ed-b67004eddc52
"Keleth, Sunmane Familiar",uncommon,,W,Legendary Creature — Horse,"CMM, CMR, PRM",1c86bb93-0166-5ece-9b9c-49a3360f7024
"Sephara, Sky's Blade",rare,,W,Legendary Creature — Angel,"CMM, M20, PLST, PM20, SCD",b0e03074-8387-50fd-a44f-3e6b88ab6f6a
"Brinelin, the Moon Kraken",uncommon,,U,Legendary Creature — Kraken,"CMM, CMR, PLST, PRM",e77f3c72-8bf8-577e-9a56-4242d4b1b2d8
Ghost of Ramirez DePietro,uncommon,,U,Legendary Creature — Spirit Pirate,"CMM, CMR, LCC, PLST, PRM",3779f08b-0d52-5a18-8dff-5ec15e13c170
Inga Rune-Eyes,uncommon,,U,Legendary Creature — Human Wizard,"CMM, KHM, MUL, PRM",de1c4167-8469-523d-a9c1-e8d1eb39fb8d
"Tetsuko Umezawa, Fugitive",uncommon,,U,Legendary Creature — Human Rogue,"CMM, DOM, MOC, MUL, PDOM",40af42b7-269e-51f8-93f0-0afcbe68d8b1
"Thryx, the Sudden Storm",uncommon,,U,Legendary Creature — Elemental Giant,"CMM, PRM, PTHB, THB",90d17434-6d47-5fe5-a5e9-d19311ec4321
"Urza, Lord High Artificer",mythic,,U,Legendary Creature — Human Artificer,"CMM, DMR, H1R, MH1, PRM",6780bf07-c1a5-57cf-8533-3a7c5d25980a
"Chainer, Dementia Master",rare,,B,Legendary Creature — Human Minion,"CMM, DMR, TOR",465cf455-f620-5e61-955d-d7a7bef25416
"Gorex, the Tombshell",uncommon,,B,Legendary Creature — Zombie Turtle,"CMM, MIC",f1e30223-11b6-5fcf-adeb-858fad5f252c
"Mikaeus, the Unhallowed",mythic,,B,Legendary Creature — Zombie Cleric,"CMM, DKA, PLST, PUMA, SLD, UMA",36e148a6-d412-5c09-9793-593cebce3a2c
"Rankle, Master of Pranks",rare,,B,Legendary Creature — Faerie Rogue,"CMM, ELD, OTC, PELD, SLD, WOC",ca653ed6-97c7-5b1f-b7d1-1dd33969955c
"Taborax, Hope's Demise",uncommon,,B,Legendary Creature — Demon Cleric,"CMM, PRM, PZNR, ZNR",ba3cca4a-5a59-5a0f-a118-95363f54cc25
"Yargle, Glutton of Urborg",uncommon,,B,Legendary Creature — Frog Spirit,"CMM, DOM, J22, MUL, PDOM, PLST, SLD",c3188424-75c2-52c2-9f05-8a911a8fa7d6
Ashling the Pilgrim,rare,,R,Legendary Creature — Elemental Shaman,"CMM, DMC, LRW",6f0c4ced-bf75-54ec-aa54-ef06f7062e5c
Captain Ripley Vance,uncommon,,R,Legendary Creature — Human Pirate,"CMM, J21, MH2",99a388eb-27c0-57b5-b24a-ff77f7004aed
"Krenko, Mob Boss",rare,,R,Legendary Creature — Goblin Warrior,"CMM, DDN, DDT, J22, JMP, M13, PLST, RVR",fab36c87-62c2-56a5-9e8c-2fe8b3416ff9
"Valduk, Keeper of the Flame",uncommon,,R,Legendary Creature — Human Shaman,"CMM, DMR, DOM, MUL, PDOM",db2bb2a3-a009-5f56-be6e-0d0fe814ffc3
"Ghalta, Primal Hunger",rare,,G,Legendary Creature — Elder Dinosaur,"CMM, GN2, GNT, JMP, PANA, PLST, PRIX, PRM, RIX, SLD, SPG",e0a20e88-f4f2-5855-b202-97192e6a5c97
"Goreclaw, Terror of Qal Sisma",uncommon,,G,Legendary Creature — Bear,"CMM, J22, M19, MUL, PM19, SLD",3dcc21c0-e898-5fc9-b5f7-9ee0179021b4
"Jolrael, Mwonvuli Recluse",rare,,G,Legendary Creature — Human Druid,"CMM, DMR, M21, MKC, PLST, PM21, PRM",1f0571cf-6e01-5af8-b4a6-80d6d303bf62
"Nemata, Grove Guardian",uncommon,,G,Legendary Creature — Treefolk,"CMM, PLS, PLST",08460125-cd86-5631-862b-04f2a6a6e587
"Selvala, Heart of the Wilds",mythic,,G,Legendary Creature — Elf Scout,"CMM, CN2, JMP, PLST, PZ2",c0586aac-4cc7-5627-a191-42a26732210d
"Yisan, the Wanderer Bard",rare,,G,Legendary Creature — Human Rogue Bard,"CMM, M15, PLST, SLD",418ce8bd-a1c3-5344-8006-fbdf22de24b8
"Akiri, Fearless Voyager",uncommon,,"R, W",Legendary Creature — Kor Warrior,"CMM, PRM, PZNR, ZNR",89dcd821-c2ab-529d-9848-f889eaa69e21
"Aryel, Knight of Windgrace",uncommon,,"B, W",Legendary Creature — Human Knight,"CMM, DOM, MOC, PDOM",dd959064-26ef-5a88-a335-249e4adc76c3
"Hamza, Guardian of Arashin",uncommon,,"G, W",Legendary Creature — Elephant Warrior,"CMM, CMR, HA4, MOC, PRM",83dd3aef-7a87-576b-ad74-14ef3e14de10
"Kykar, Wind's Fury",rare,,"R, U, W",Legendary Creature — Bird Wizard,"CMM, M20, MOC, PM20",f3f719fd-4771-5651-855e-0aeb3460a548
Queen Marchesa,rare,,"B, R, W",Legendary Creature — Human Assassin,"CMM, CMR, CN2, OTC, PLST, PRM, PZ2, SLD",773d700c-d34f-502d-ac8e-ebdb066a84a1
"Raff Capashen, Ship's Mage",uncommon,,"U, W",Legendary Creature — Human Wizard,"CMM, DOM, NEC, PDOM, PLST",ab8f58fa-6f9d-5661-8238-f54a6892cb73
"Slimefoot, the Stowaway",uncommon,,"B, G",Legendary Creature — Fungus,"CMM, DOM, PDOM, PLST, SLD, TSR",9b955b3f-2232-5165-841c-cacd3f47336d
"Tatyova, Benthic Druid",uncommon,,"G, U",Legendary Creature — Merfolk Druid,"CMM, DMR, DOM, LCC, PDOM, PLST",ff4a112d-29cc-59e3-88ce-a426ea7af4c0
Teysa Karlov,rare,,"B, W",Legendary Creature — Human Advisor,"CMM, MUL, PRNA, RNA, SLD",36a9af11-0631-52a3-9ae6-921feca3fca6
Tuya Bearclaw,uncommon,,"G, R",Legendary Creature — Human Warrior,"CMM, CMR, PRM",9321d260-7794-577f-868b-6d98ce6a337d
"Zacama, Primal Calamity",rare,,"G, R, W",Legendary Creature — Elder Dinosaur,"CMM, LCC, PJ21, PLST, PRIX, RIX",db36370b-bfc2-5e54-9619-f39e72461825
"Zilortha, Strength Incarnate",rare,,"G, R",Legendary Creature — Dinosaur,"CMM, IKO",ca5e7e6d-850d-540a-a747-9867dda8706d
Sliver Hivelord,mythic,,"B, G, R, U, W",Legendary Creature — Sliver,"CMM, EA2, M15, PLST, SLD",b7bd9379-9347-5983-9957-b2d7536c057c
"Akroma, Vision of Ixidor",mythic,,W,Legendary Creature — Angel,"CMR, PRM",4695aee9-5eac-5750-ba4f-a21691057ce4
"Ardenn, Intrepid Archaeologist",uncommon,,W,Legendary Creature — Kor Scout,"CMR, PRM",99b4f253-6462-529e-b504-ef73f8514414
"Livio, Oathsworn Sentinel",rare,,W,Legendary Creature — Human Knight,"CMR, PRM",cd9dc06b-6a37-550c-be22-4355f0841452
Prava of the Steel Legion,uncommon,,W,Legendary Creature — Cat Soldier,"CMR, ONC, PRM",e127fbfe-1e0f-57aa-a205-2f2a41de09e4
"Radiant, Serra Archangel",uncommon,,W,Legendary Creature — Angel,"CMR, PRM",9d0e9ec7-04d5-5634-b73c-5825eea62806
"Rebbec, Architect of Ascension",uncommon,,W,Legendary Creature — Human Artificer,"CMR, PRM",dc7fa984-26d6-5d56-b9ca-1020b0737c09
"Eligeth, Crossroads Augur",rare,,U,Legendary Creature — Sphinx,"CMR, PRM",b3aaf6e3-840b-597b-b91c-b34547929164
"Esior, Wardwing Familiar",uncommon,,U,Legendary Creature — Bird,"CMR, PRM",a2968510-709d-54fe-b793-60f03b8301c4
"Glacian, Powerstone Engineer",uncommon,,U,Legendary Creature — Human Artificer,"CMR, PLST, PRM",67869983-0d49-5922-aa93-6f7c0cdeaff1
"Malcolm, Keen-Eyed Navigator",uncommon,,U,Legendary Creature — Siren Pirate,"CMR, LCC, PRM, SPG",bc1239f8-8007-5db7-a11e-a5dd47b51a95
Sakashima of a Thousand Faces,mythic,,U,Legendary Creature — Human Rogue,"CMR, PRM, SLD",009e6685-ebc6-5091-8c91-9fb33307ed1b
"Siani, Eye of the Storm",uncommon,,U,Legendary Creature — Djinn Monk,"CMR, PRM",6c054fa9-eb18-5f36-80c0-a07f90d7341a
"Falthis, Shadowcat Familiar",uncommon,,B,Legendary Creature — Nightmare Cat,"CMR, PRM",91496316-74be-5a0b-b418-e7d45e467274
"Keskit, the Flesh Sculptor",uncommon,,B,Legendary Creature — Human Artificer,"CMR, MOC, PRM",bdd9052c-faea-54ee-b3a3-e580de04706f
"Miara, Thorn of the Glade",uncommon,,B,Legendary Creature — Elf Scout,"CMR, KHC, PRM",7e68a0b5-e3bc-5e34-bdec-c6c7f5aaa6dd
"Nadier, Agent of the Duskenel",uncommon,,B,Legendary Creature — Elf Warrior,"CMR, PRM",d19616df-f0da-5d66-b81a-7c75fd08c01a
"Sengir, the Dark Baron",rare,,B,Legendary Creature — Vampire Noble,"CMR, PRM",738e4e5c-64ca-5eed-9394-a48916e3de8e
"Tormod, the Desecrator",uncommon,,B,Legendary Creature — Zombie Wizard,"CMR, PRM",3b193a3f-155e-59dc-8832-c0b5a620bd2d
"Alena, Kessig Trapper",uncommon,,R,Legendary Creature — Human Scout,"CMR, PRM",d6a21294-4584-5d5d-998a-cb0c4cd2117d
"Breeches, Brazen Plunderer",uncommon,,R,Legendary Creature — Goblin Pirate,"CMR, LCC, PRM, SPG",651b7da2-c120-5876-b644-ea0de93ff480
"Dargo, the Shipwrecker",uncommon,,R,Legendary Creature — Giant Pirate,"CMR, PRM, SPG",f02ab4c4-b512-53e7-b961-1e3c3fc5e942
"Kediss, Emberclaw Familiar",uncommon,,R,Legendary Creature — Elemental Lizard,"CMR, PRM",f3f5f0de-68c9-59e4-ab61-77b58b2afb1e
"Krark, the Thumbless",rare,,R,Legendary Creature — Goblin Wizard,"CMR, PLST, PRM, SLD",2704f6ad-6741-5194-9bf7-459d6b4c5b8b
"Rograkh, Son of Rohgahh",uncommon,,R,Legendary Creature — Kobold Warrior,"CMR, PRM, SLD",379be6bc-f2ec-50ef-b815-f2c1d3ff867f
"Toggo, Goblin Weaponsmith",uncommon,,R,Legendary Creature — Goblin Artificer,"CMR, PRM",a2eaff0d-7ba6-544c-875c-02c26001a887
"Anara, Wolvid Familiar",uncommon,,G,Legendary Creature — Wolf Beast,"CMR, PRM",a6643f91-5c8f-549b-b955-12a83d1560d0
"Gilanra, Caller of Wirewood",uncommon,,G,Legendary Creature — Elf Druid,"CMR, PRM",55b71f80-36b8-57ba-8b2f-2d4db81c9b09
"Halana, Kessig Ranger",uncommon,,G,Legendary Creature — Human Archer,"CMR, PRM",a836295d-4af9-5590-a83c-49b39abde7a8
"Ich-Tekik, Salvage Splicer",uncommon,,G,Legendary Creature — Human Artificer,"CMR, PRM",9767c0a3-2584-5383-8eeb-6873f4f20ba6
"Kamahl, Heart of Krosa",mythic,,G,Legendary Creature — Human Druid,"CMR, PRM",81a66020-9905-509d-8285-acb9d3bda6d5
Kodama of the East Tree,rare,,G,Legendary Creature — Spirit,"CMR, PRM",472d5072-f952-5115-81f5-5d0d3d1adf06
"Numa, Joraga Chieftain",uncommon,,G,Legendary Creature — Elf Warrior,"CMR, KHC, PRM",02dc8039-bc77-5c65-9654-8cdffc350880
"Slurrk, All-Ingesting",uncommon,,G,Legendary Creature — Ooze,"CMR, MOC, PRM",cee16c13-ece0-5b53-83bc-bcbeb211fe98
Abomination of Llanowar,uncommon,,"B, G",Legendary Creature — Elf Horror,"CMR, HA4, KHC, PRM",825c7b44-9ad0-57c6-ae6e-cc2213fb027c
"Amareth, the Lustrous",rare,,"G, U, W",Legendary Creature — Dragon,"CMR, PRM",9f3f136a-5fcd-5862-aa93-446131f59c69
Araumi of the Dead Tide,uncommon,,"B, U",Legendary Creature — Merfolk Wizard,"CMR, PRM",ca25fdd8-2459-59b5-ad06-c7576a46e6ad
"Archelos, Lagoon Mystic",rare,,"B, G, U",Legendary Creature — Turtle Shaman,"CMR, DMC, PRM",b772f271-3685-5b83-bf3c-d2f1e0f11b78
"Averna, the Chaos Bloom",rare,,"G, R, U",Legendary Creature — Elemental Shaman,"CMR, PRM",92f9d565-c101-5788-8aff-77ab21e0e60d
"Belbe, Corrupted Observer",rare,,"B, G",Legendary Creature — Zombie Elf,"CMR, PRM",ed1fe3f2-0fa2-5ab3-b691-272f4fcb2389
"Bell Borca, Spectral Sergeant",rare,,"R, W",Legendary Creature — Spirit Soldier,"CMR, DMC, PRM",8f8bc5cc-80a6-5591-a149-15dfdac5acee
"Blim, Comedic Genius",rare,,"B, R",Legendary Creature — Imp,"CMR, PRM",316658fe-3692-5597-9f3b-e0f480048c3d
Captain Vargus Wrath,uncommon,,"R, U",Legendary Creature — Orc Pirate,"CMR, PRM",dfc36f44-84ca-5336-893c-f9ad2f4473dd
"Colfenor, the Last Yew",rare,,"B, G, W",Legendary Creature — Treefolk Shaman,"CMR, PRM",82e67a3d-7767-59df-b2d2-1dcdb22b94ba
"Ghen, Arcanum Weaver",rare,,"B, R, W",Legendary Creature — Human Wizard,"CMR, PRM",044a4d3a-f1bc-5be9-9425-729a251286b7
"Gnostro, Voice of the Crags",rare,,"R, U, W",Legendary Creature — Chimera,"CMR, PRM",899bbb9b-a96a-5e0e-83f6-4f1e10f9298e
"Gor Muldrak, Amphinologist",rare,,"G, U",Legendary Creature — Human Scout,"CMR, PRM",27963f4c-79ea-5ffc-b78f-9c2750b6fddc
Hans Eriksson,rare,,"G, R",Legendary Creature — Human Scout,"CMR, PLST, PRM",5aa3b5e8-0c4d-50fd-b42b-359987aceabd
"Imoti, Celebrant of Bounty",uncommon,,"G, U",Legendary Creature — Naga Druid,"CMR, MUL, PRM",dea1a751-fed6-5028-8080-fcf4f4fa941b
"Jared Carthalion, True Heir",rare,,"G, R, W",Legendary Creature — Human Warrior,"CMR, PLST, PRM",90ce43e8-9fb5-5ae7-90d0-410589863c8a
"Juri, Master of the Revue",uncommon,,"B, R",Legendary Creature — Human Shaman,"CMR, MUL, PRM",cefab359-da22-5336-9825-4d29307f191c
"Kangee, Sky Warden",uncommon,,"U, W",Legendary Creature — Bird Wizard,"CMR, PRM, SCD",30a83050-6532-5c15-a64f-10d4c87ef12f
"Kwain, Itinerant Meddler",rare,,"U, W",Legendary Creature — Rabbit Wizard,"CMR, PL23, PRM",73a0eba2-d474-56e7-bcdd-6bbec7216379
"Lathiel, the Bounteous Dawn",rare,,"G, W",Legendary Creature — Unicorn,"CMR, MUL, PRM",8003cd1e-c697-556a-b093-e95035447b90
"Liesa, Shroud of Dusk",rare,,"B, W",Legendary Creature — Angel,"CMR, PRM",c3d19769-e390-5ce3-aa5b-18a978fd310b
"Nevinyrral, Urborg Tyrant",rare,,"B, U, W",Legendary Creature — Zombie Wizard,"CMR, PRM",c380b206-8845-5af8-9c9d-2bc89df9089b
"Nymris, Oona's Trickster",rare,,"B, U",Legendary Creature — Faerie Knight,"CMR, PRM, WOC",08fcc5d2-bbcf-56a9-946f-9417f92d44e6
"Obeka, Brute Chronologist",rare,,"B, R, U",Legendary Creature — Ogre Wizard,"CMR, PRM, SLD",518599e3-c707-5600-973d-da0ad158efeb
"Reyav, Master Smith",uncommon,,"R, W",Legendary Creature — Dwarf Artificer,"CMR, MUL, PLST, PRM",5d5612f7-e556-550a-9de9-8ed745b35f46
"Thalisse, Reverent Medium",uncommon,,"B, W",Legendary Creature — Human Cleric,"CMR, PRM",fd1322ce-57b8-511e-9b39-64ff84ebda86
Yurlok of Scorch Thrash,rare,,"B, G, R",Legendary Creature — Viashino Shaman,"CMR, PRM",0fba90e8-f8a6-534b-8d0c-096f5ff4d116
"Zara, Renegade Recruiter",rare,,"R, U",Legendary Creature — Human Pirate,"CMR, LCC, PRM",602a6f5f-f8f6-5ae9-804b-7ef20433169e
"Wyleth, Soul of Steel",mythic,,"R, W",Legendary Creature — Human Warrior,CMR,e09f4e6f-a618-5a8d-814e-8391cdec5566
"Aesi, Tyrant of Gyre Strait",mythic,,"G, U",Legendary Creature — Serpent,CMR,e183c2a8-549b-59d5-9063-f14bb619ca65
"Nezahal, Primal Tide",rare,,U,Legendary Creature — Elder Dinosaur,"CMR, HBG, PLST, PRIX, RIX, SLD",0da28cae-c6ec-5f43-8015-cdac21058bc7
"Slinn Voda, the Rising Deep",uncommon,,U,Legendary Creature — Leviathan,"CMR, DOM, PDOM",00ad5bf1-ebd6-54cc-b5bd-9cbba4eb101d
"Tiana, Ship's Caretaker",uncommon,,"R, W",Legendary Creature — Angel Artificer,"CMR, DMR, DOM, PDOM",d8b615f2-706f-57e6-9574-524853668264
"Brago, King Eternal",mythic,,"U, W",Legendary Creature — Spirit Noble,"CMR, CNS, EMA, KHC, PLST, PRM, VMA",51036a18-d7f7-5e0a-afd0-a83ba234db0e
"Rakdos, Lord of Riots",mythic,,"B, R",Legendary Creature — Demon,"CMR, GK2, PRM, RTR, RVR",0211c102-fc7f-5033-b372-782d1be6e145
Kami of the Crescent Moon,rare,,U,Legendary Creature — Spirit,"CN2, SLD, SOK, VOC",ca80dec6-beeb-5425-b5f4-66c3393d712a
Progenitus,mythic,,"B, G, R, U, W",Legendary Creature - Hydra Avatar,"CON, MMA, PGPX, PLST, SLD, V11",83704f1a-b85d-5671-9d82-d6066c01201c
"Haakon, Stromgald Scourge",rare,,B,Legendary Creature - Zombie Knight,"CSP, MOC, PLST",b9f9e43d-a9fb-585b-bf9f-f6c2924b17c7
Lovisa Coldeyes,rare,,R,Legendary Creature - Human Lord,"CSP, DDS, PLST, PSAL, PZ2",aed8cb47-47e7-5572-88e1-f01f4cee41ba
"Ib Halfheart, Goblin Tactician",rare,,R,Legendary Creature - Goblin Advisor,"DD1, EVG, J22, PLST, TSP",4d8d0645-c0c9-56c1-9db5-f1e386b3f187
"Rith, the Awakener",rare,,"G, R, W",Legendary Creature — Dragon,"DDE, DMR, DRB, INV, PLST",0b8541fc-484c-55f8-a087-a89b67f85f54
Anax and Cymede,rare,,"R, W",Legendary Creature — Human Soldier,"DDL, PLST, THS",82e49192-eda1-5127-a876-6fd455853dde
"Polukranos, World Eater",mythic,,G,Legendary Creature — Hydra,"DDL, PLST, THS",c49830f7-7405-50bc-98c4-cef47e9bdf47
Jhoira of the Ghitu,mythic,,"R, U",Legendary Creature — Human Wizard,"DDS, FUT, MMA, PLST, PZ2, TSR",7a17024f-31dc-5132-9f9f-c8723e872a97
"Radha, Heir to Keld",rare,,"G, R",Legendary Creature — Elf Warrior,"DDS, DMR, PLC, TSR",94628f32-7893-58bc-9167-300e837e487a
"Dwynen, Gilt-Leaf Daen",rare,,G,Legendary Creature — Elf Warrior,"DDU, KHC, ORI, PORI, PRM",2b3358b9-afae-58fb-b4b1-9d02fe3e5927
"Yeva, Nature's Herald",rare,,G,Legendary Creature — Elf Shaman,"DDU, M13, RVR, SLD",62b4128b-f818-544d-b582-579b9823e838
Pia and Kiran Nalaar,rare,,R,Legendary Creature — Human Artificer,"DDU, MOC, ORI, PLST, PORI, PRM",a64015f3-6177-5299-8e7e-0879eb8af068
"Tajic, Blade of the Legion",rare,,"R, W",Legendary Creature — Human Soldier,"DGM, DMC",effd998a-2628-5543-83fb-3427e5468ed9
"Elbrus, the Binding Blade // Withengar Unbound",mythic,0.0,B,Legendary Creature — Demon,"DKA, PLST, V17",5b2da00b-8ae3-5a52-b377-163555853a69
"Jenson Carthalion, Druid Exile",mythic,,"G, W",Legendary Creature — Human Druid,DMC,0deb6ee7-2ef0-5903-8cd4-e0c6450d3262
"Shanid, Sleepers' Scourge",mythic,,"B, R, W",Legendary Creature — Human Knight,DMC,b76635c0-5aa5-5b48-bb10-d8491d5fe6a4
"Zeriam, Golden Wind",rare,,W,Legendary Creature — Griffin,DMC,d4dbf1e8-4306-5f38-ae08-46a865d76115
"Moira, Urborg Haunt",rare,,B,Legendary Creature — Spirit Wizard,DMC,1c98cff5-7698-540e-af70-3631009286ab
"Bladewing, Deathless Tyrant",rare,,"B, R",Legendary Creature — Dragon Skeleton,DMC,edcb7ca0-c412-55f0-9dd0-15fe725c8456
"Cadric, Soul Kindler",rare,,"R, W",Legendary Creature — Dwarf Wizard,DMC,ece19066-eab7-5f57-9a3c-d83172ef14fe
"Verrak, Warped Sengir",rare,,"B, W",Legendary Creature — Vampire,DMC,aae96d9a-54b1-58f9-b64c-ddd752119bae
Emperor Mihail II,rare,,U,Legendary Creature — Merfolk Noble,"DMC, LCC",2c0df630-4e8f-5406-98d1-47383625ec2d
"Rosnakht, Heir of Rohgahh",rare,,R,Legendary Creature — Kobold Warrior,DMC,aeafcdbd-159b-52c5-ad91-f6e21a64e745
"Baru, Wurmspeaker",rare,,G,Legendary Creature — Human Druid,DMC,bb0aceb4-4844-5d5b-adfc-1d206b619f13
"Greensleeves, Maro-Sorcerer",mythic,,G,Legendary Creature — Elemental,"DMC, PLST",0abb2af8-915b-5b53-a952-4b3641d38a36
"Ayesha Tanaka, Armorer",rare,,"U, W",Legendary Creature — Human Artificer,DMC,4ed56242-2b89-569b-820a-32f7b7f9c6f2
The Ever-Changing 'Dane,rare,,"B, U, W",Legendary Creature — Shapeshifter,DMC,4e75ef67-5c8f-5d0b-b64b-7ad92fab4ff5
General Marhault Elsdragon,uncommon,,"G, R",Legendary Creature — Elf Warrior,DMC,c6dae3ee-13bd-5c62-8408-c4a9e4b3ece5
"Hazezon, Shaper of Sand",rare,,"G, R, W",Legendary Creature — Human Warrior,"DMC, OTC",e6a3bef8-0c46-5308-a8b8-3fd8330fad7b
Jasmine Boreal of the Seven,uncommon,,"G, W",Legendary Creature — Human Druid,DMC,dfced1a0-bae8-561a-a552-03345a763930
"Jedit Ojanen, Mercenary",mythic,,"U, W",Legendary Creature — Cat Mercenary,DMC,023da185-3849-50c5-98c2-8e8e8a5f9cf1
The Lady of Otaria,mythic,,"G, R",Legendary Creature — Avatar,DMC,8b37556f-3907-5a70-84c2-07352ba7e83f
Ohabi Caleria,rare,,"G, W",Legendary Creature — Elf Archer,DMC,9006b1e6-0113-59de-9825-13a1c6594b96
"Orca, Siege Demon",rare,,"B, R",Legendary Creature — Demon,DMC,7429dd3b-4a48-5119-b985-b1df44deed4b
"Ramirez DePietro, Pillager",uncommon,,"B, U",Legendary Creature — Human Pirate,"DMC, LCC",98ae05eb-6685-51d7-a304-cdbe30f1fe56
"Ramses, Assassin Lord",rare,,"B, U",Legendary Creature — Human Assassin,DMC,d3d8324d-1d00-5782-a66d-0c2aa35f286b
"Rasputin, the Oneiromancer",rare,,"U, W",Legendary Creature — Human Wizard,DMC,204fa681-fcb0-5b2d-9960-080fece916e5
"Rohgahh, Kher Keep Overlord",rare,,"B, R",Legendary Creature — Kobold Warrior,DMC,3e65abe0-f64f-52db-b504-c5b3e2909c87
"Stangg, Echo Warrior",rare,,"G, R",Legendary Creature — Human Warrior,DMC,a33c47a9-dd5e-5406-b188-a697d75d8451
"Tetsuo, Imperial Champion",mythic,,"B, R, U",Legendary Creature — Human Samurai,DMC,7dc5c660-cd97-5323-972e-38ae33954196
"Tobias, Doomed Conqueror",uncommon,,"U, W",Legendary Creature — Human Soldier,DMC,e8c4ad04-acf8-5df9-8b6c-1f0412b9d8f8
Tor Wauki the Younger,uncommon,,"B, R",Legendary Creature — Human Archer,DMC,59a5e4ae-fd72-5e55-93aa-2e1d63f22df4
"Torsten, Founder of Benalia",mythic,,"G, W",Legendary Creature — Human Soldier,DMC,78112915-b345-5ed3-815a-fca52038dffa
"Xira, the Golden Sting",rare,,"B, G, R",Legendary Creature — Insect Assassin,DMC,5ab64906-e266-5cbb-8849-74af4941f209
"Josu Vess, Lich Knight",rare,,B,Legendary Creature — Zombie Knight,"DMC, DOM, MOC, PDOM, SCD",4fc40360-d8f1-5b80-9a80-5bbfe205783d
"Kothophed, Soul Hoarder",rare,,B,Legendary Creature — Demon,"DMC, J22, ORI, PORI, PRM, SLD",e16b3c9d-3b87-56e8-b8e8-925f41e1b55e
Captain Lannery Storm,rare,,R,Legendary Creature — Human Pirate,"DMC, J22, LCC, MUL, OTC, PXLN, SLD, XLN",69af81cb-5c18-5829-83e4-19dc94fe834d
